,disease,feature,therapy,text
121,Subependymal giant cell astrocytoma,Somatic Variant,Everolimus,"INDICATIONS AND USAGE---------------------------
AFINITOR is a kinase inhibitor indicated for the treatment of: 
	 Postmenopausal women with advanced hormone receptor-positive, HER2-
negative breast cancer in combination with exemestane after failure of 
treatment with letrozole or anastrozole. (1.1) 
	 Adults with progressive neuroendocrine tumors of pancreatic origin 
(PNET) and adults with progressive, well-differentiated, non-functional 
neuroendocrine tumors (NET) of gastrointestinal (GI) or lung origin that 
are unresectable, locally advanced or metastatic. 
Limitations of Use: AFINITOR is not indicated for the treatment of 
patients with functional carcinoid tumors. (1.2) 
 Adults with advanced renal cell carcinoma (RCC) after failure of treatment 
with sunitinib or sorafenib. (1.3) 
 Adults with renal angiomyolipoma and tuberous sclerosis complex (TSC), 
not requiring immediate surgery. (1.4) 
AFINITOR and AFINITOR DISPERZ are kinase inhibitors indicated for the 
treatment of adult and pediatric patients aged 1 year and older with TSC who 
have subependymal giant cell astrocytoma (SEGA) that requires therapeutic 
intervention but cannot be curatively resected. (1.5) 
AFINITOR DISPERZ is a kinase inhibitor indicated for the adjunctive 
treatment of adult and pediatric patients aged 2 years and older with TSC-
associated partial-onset seizures. (1.6) 
------------------------"
130,Breast Cancer,Germline Variant,Talazoparib,"INDICATIONS AND USAGE----------------------------
TALZENNA is a poly (ADP-ribose) polymerase (PARP) inhibitor indicated 
for: 
Breast Cancer 
• As a single agent, for the treatment of adult patients with deleterious or 
suspected deleterious germline BRCA-mutated (gBRCAm) HER2-negative 
locally advanced or metastatic breast cancer. Select patients for therapy 
based on an FDA-approved companion diagnostic for TALZENNA. (1.1) 
HRR Gene-mutated mCRPC 
• In combination with enzalutamide for the treatment of adult patients with 
HRR gene-mutated metastatic castration-resistant prostate cancer 
(mCRPC). (1.2) 
----------------------"
144,Breast Cancer,Copy Number,Ado-Trastuzumab Emtansine,"INDICATIONS AND USAGE 
KADCYLA is a HER2-targeted antibody and microtubule inhibitor conjugate 
indicated, as a single agent, for: 
•	 the treatment of patients with HER2-positive, metastatic breast cancer 
who previously received trastuzumab and a taxane, separately or in 
combination. Patients should have either: 
•	 received prior therapy for metastatic disease, or 
•	 developed disease recurrence during or within six months of 
completing adjuvant therapy. (1.1) 
•	 the adjuvant treatment of patients with HER2-positive early breast cancer 
who have residual invasive disease after neoadjuvant taxane and 
trastuzumab-based treatment. (1.2) 
Select patients for therapy based on an FDA-approved companion diagnostic 
for KADCYLA [see Dosage and Administration (2.1)] 
"
145,Breast Cancer,Copy Number,Lapatinib,"INDICATIONS AND USAGE------------------------------ 
TYKERB is a kinase inhibitor indicated in combination with: (1) 
 capecitabine for the treatment of patients with advanced or metastatic breast 
cancer whose tumors overexpress human epidermal growth factor receptor 2 
(HER2) and who have received prior therapy including an anthracycline, a 
taxane, and trastuzumab. 
Limitations of Use: Patients should have disease progression on trastuzumab 
prior to initiation of treatment with TYKERB in combination with capecitabine. 
 letrozole for the treatment of postmenopausal women with hormone receptor-
positive metastatic breast cancer that overexpresses the HER2 receptor for 
whom hormonal therapy is indicated. 
TYKERB in combination with an aromatase inhibitor has not been compared to a 
trastuzumab-containing chemotherapy regimen for the treatment of metastatic 
breast cancer. 
----------------------------"
147,Breast Cancer,Copy Number,Neratinib,"INDICATIONS AND USAGE 
NERLYNX is a kinase inhibitor indicated: 
•	 As a single agent, for the extended adjuvant treatment of adult patients with 
early-stage HER2-positive breast cancer, to follow adjuvant trastuzumab­
based therapy. (1.1) 
•	 In combination with capecitabine, for the treatment of adult patients with 
advanced or metastatic HER2-positive breast cancer who have received 
two or more prior anti-HER2 based regimens in the metastatic setting. (1.2) 
_______________"
148,Breast Cancer,Copy Number,Pertuzumab + Trastuzumab,"INDICATIONS AND USAGE---------------------------­
PERJETA is a HER2/neu receptor antagonist indicated for: 
•	 Use in combination with trastuzumab and docetaxel for treatment of 
patients with HER2-positive metastatic breast cancer (MBC) who have 
not received prior anti-HER2 therapy or chemotherapy for metastatic 
disease. (1.1) 
•	 Use in combination with trastuzumab and chemotherapy as 
o	 neoadjuvant treatment of patients with HER2-positive, locally 
advanced, inflammatory, or early stage breast cancer (either greater 
than 2 cm in diameter or node positive) as part of a complete 
treatment regimen for early breast cancer. (1.2, 2.2, 14.2) 
o	 adjuvant treatment of patients with HER2-positive early breast cancer 
at high risk of recurrence (1.2, 2.2, 14.3) 
-----------------------"
149,Breast Cancer,Copy Number,Trastuzumab,"INDICATIONS AND USAGE----------------------------
Herceptin is a HER2/neu receptor antagonist indicated for: 
•	 The treatment of HER2-overexpressing breast cancer. (1.1, 1.2) 
•	 The treatment of HER2-overexpressing metastatic gastric or 
gastroesophageal junction adenocarcinoma. (1.3) 
Select patients for therapy based on an FDA-approved companion diagnostic 
for Herceptin (1, 2.1). 
------------------------"
152,Breast Cancer,Copy Number,Capecitabine + Trastuzumab + Tucatinib,"INDICATIONS AND USAGE -----------------------------
TUKYSA is a kinase inhibitor indicated: 
• in combination with trastuzumab and capecitabine for treatment of adult 
patients with advanced unresectable or metastatic HER2-positive breast 
cancer, including patients with brain metastases, who have received one 
or more prior anti-HER2-based regimens in the metastatic setting. (1.1) 
• in combination with trastuzumab for the treatment of adult patients with 
RAS wild-type HER2-positive unresectable or metastatic colorectal 
cancer that has progressed following treatment with fluoropyrimidine-, 
oxaliplatin-, and irinotecan-based chemotherapy. (1.2) 
This indication is approved under accelerated approval based on tumor 
response rate and durability of response [see Clinical Studies (14.2)]. 
Continued approval for this indication may be contingent upon 
verification and description of clinical benefit in confirmatory trials. 
----------------------"
153,Breast Cancer,Copy Number,Chemotherapy + Hyaluronidase-zzxf + Pertuzumab + Trastuzumab,"INDICATIONS AND USAGE 
PHESGO is a combination of pertuzumab and trastuzumab, HER2/neu 
receptor antagonists, and hyaluronidase, an endoglycosidase, indicated for: 
•	 Use in combination with chemotherapy as: 
o	 neoadjuvant treatment of patients with HER2-positive, locally 
advanced, inflammatory, or early stage breast cancer (either greater 
than 2 cm in diameter or node positive) as part of a complete 
treatment regimen for early breast cancer. (1.1) 
o	 adjuvant treatment of patients with HER2-positive early breast 
cancer at high risk of recurrence (1.1) 
•	 Use in combination with docetaxel for treatment of patients with HER2­
positive metastatic breast cancer (MBC) who have not received prior 
anti-HER2 therapy or chemotherapy for metastatic disease. (1.2) 
"
155,Breast Cancer,Copy Number,Margetuximab-cmkb + Chemotherapy,"INDICATIONS AND USAGE---------------------------­
MARGENZA is a HER2/neu receptor antagonist indicated, in combination 
with chemotherapy, for the treatment of adult patients with metastatic HER2­
positive breast cancer who have received two or more prior anti-HER2 
regimens, at least one of which was for metastatic disease. (1, 2.1, 14.1) 
------------------------"
156,Gastic Adenocarcinoma,Copy Number,Fluoropyrimidine + Trastuzumab + Pembrolizumab + Platinum,"INDICATIONS AND USAGE----------------------------
KEYTRUDA is a programmed death receptor-1 (PD-1)-blocking 
antibody indicated: 
Melanoma 
• for the treatment of patients with unresectable or metastatic 
melanoma. (1.1) 
• for the adjuvant treatment of adult and pediatric (12 years and 
older) patients with Stage IIB, IIC, or III melanoma following 
complete resection. (1.1) 
Non-Small Cell Lung Cancer (NSCLC) 
• in combination with pemetrexed and platinum chemotherapy, 
as first-line treatment of patients with metastatic nonsquamous 
NSCLC, with no EGFR or ALK genomic tumor aberrations. 
(1.2) 
• in combination with carboplatin and either paclitaxel or 
paclitaxel protein-bound, as first-line treatment of patients with 
metastatic squamous NSCLC. (1.2) 
• as a single agent for the first-line treatment of patients with 
NSCLC expressing PD-L1 [Tumor Proportion Score (TPS) 
≥1%] as determined by an FDA-approved test, with no EGFR 
or ALK genomic tumor aberrations, and is: 
o Stage III where patients are not candidates for surgical 
resection or definitive chemoradiation, or 
o metastatic. (1.2, 2.1) 
• as a single agent for the treatment of patients with metastatic 
NSCLC whose tumors express PD-L1 (TPS ≥1%) as 
determined by an FDA-approved test, with disease 
progression on or after platinum-containing chemotherapy. 
Patients with EGFR or ALK genomic tumor aberrations should 
have disease progression on FDA-approved therapy for these 
aberrations prior to receiving KEYTRUDA. (1.2, 2.1) 
• for the treatment of patients with resectable (tumors ≥4 cm or 
node positive) NSCLC in combination with platinum-containing 
chemotherapy as neoadjuvant treatment, and then continued 
as a single agent as adjuvant treatment after surgery. (1.2) 
• as a single agent, for adjuvant treatment following resection 
and platinum-based chemotherapy for adult patients with 
Stage IB (T2a ≥4 cm), II, or IIIA NSCLC. (1.2) 
Head and Neck Squamous Cell Cancer (HNSCC) 
• in combination with platinum and FU for the first-line treatment 
of patients with metastatic or with unresectable, recurrent 
HNSCC. (1.3) 
• as a single agent for the first-line treatment of patients with 
metastatic or with unresectable, recurrent HNSCC whose 
tumors express PD-L1 [Combined Positive Score (CPS) ≥1] as 
determined by an FDA-approved test. (1.3, 2.1) 
• as a single agent for the treatment of patients with recurrent or 
metastatic HNSCC with disease progression on or after 
platinum-containing chemotherapy. (1.3) 
Classical Hodgkin Lymphoma (cHL) 
• for the treatment of adult patients with relapsed or refractory 
cHL. (1.4) 
• for the treatment of pediatric patients with refractory cHL, or 
cHL that has relapsed after 2 or more lines of therapy. (1.4) 
Primary Mediastinal Large B-Cell Lymphoma (PMBCL) 
• for the treatment of adult and pediatric patients with refractory 
PMBCL, or who have relapsed after 2 or more prior lines of 
therapy. (1.5) 
• Limitations of Use: KEYTRUDA is not recommended for 
treatment of patients with PMBCL who require urgent 
cytoreductive therapy. 
Urothelial Carcinoma 
• in combination with enfortumab vedotin, for the treatment of 
adult patients with locally advanced or metastatic urothelial 
carcinoma who are not eligible for cisplatin-containing 
chemotherapy.1 (1.6) 
• as a single agent for the treatment of patients with locally 
advanced or metastatic urothelial carcinoma who: 
o are not eligible for any platinum-containing 
chemotherapy, or 
o who have disease progression during or following 
platinum-containing chemotherapy or within 12 months of 
neoadjuvant or adjuvant treatment with platinum-
containing chemotherapy. (1.6) 
• as a single agent for the treatment of patients with Bacillus 
Calmette-Guerin (BCG)-unresponsive, high-risk, non-muscle 
invasive bladder cancer (NMIBC) with carcinoma in situ (CIS) 
with or without papillary tumors who are ineligible for or have 
elected not to undergo cystectomy. (1.6) 
Microsatellite Instability-High or Mismatch Repair Deficient Cancer 
• for the treatment of adult and pediatric patients with 
unresectable or metastatic microsatellite instability-high 
(MSI-H) or mismatch repair deficient (dMMR) solid tumors, as 
determined by an FDA-approved test, that have progressed 
following prior treatment and who have no satisfactory 
alternative treatment options. (1.7, 2.1) 
Microsatellite Instability-High or Mismatch Repair Deficient 
Colorectal Cancer (CRC) 
• for the treatment of patients with unresectable or metastatic 
MSI-H or dMMR colorectal cancer (CRC) as determined by an 
FDA-approved test. (1.8, 2.1) 
Gastric Cancer 
• in combination with trastuzumab, fluoropyrimidine- and 
platinum-containing chemotherapy, for the first-line treatment 
of patients with locally advanced unresectable or metastatic 
HER2-positive gastric or gastroesophageal junction (GEJ) 
adenocarcinoma whose tumors express PD-L1 (CPS ≥1) as 
determined by an FDA-approved test.1 (1.9) 
Esophageal Cancer 
• for the treatment of patients with locally advanced or metastatic 
esophageal or gastroesophageal junction (GEJ) (tumors with 
epicenter 1 to 5 centimeters above the GEJ) carcinoma that is 
not amenable to surgical resection or definitive chemoradiation 
either: 
o in combination with platinum- and fluoropyrimidine-based 
chemotherapy, or 
o as a single agent after one or more prior lines of systemic 
therapy for patients with tumors of squamous cell 
histology that express PD-L1 (CPS ≥10) as determined 
by an FDA-approved test. (1.10, 2.1) 
Cervical Cancer 
• in combination with chemotherapy, with or without 
bevacizumab, for the treatment of patients with persistent, 
recurrent, or metastatic cervical cancer whose tumors express 
PD-L1 (CPS ≥1) as determined by an FDA-approved test. 
(1.11, 2.1) 
• as a single agent for the treatment of patients with recurrent or 
metastatic cervical cancer with disease progression on or after 
chemotherapy whose tumors express PD-L1 (CPS ≥1) as 
determined by an FDA-approved test. (1.11, 2.1) 
Hepatocellular Carcinoma (HCC) 
• for the treatment of patients with HCC who have been 
previously treated with sorafenib.1 (1.12) 
Biliary Tract Cancer (BTC) 
• in combination with gemcitabine and cisplatin, for the 
treatment of patients with locally advanced unresectable or 
metastatic biliary tract cancer. (1.13) 
Merkel Cell Carcinoma (MCC) 
• for the treatment of adult and pediatric patients with recurrent 
locally advanced or metastatic Merkel cell carcinoma. (1.14) 
Renal Cell Carcinoma (RCC) 
• in combination with axitinib, for the first-line treatment of adult 
patients with advanced RCC. (1.15) 
• in combination with lenvatinib, for the first-line treatment of 
adult patients with advanced RCC. (1.15) 
• for the adjuvant treatment of patients with RCC at 
intermediate-high or high risk of recurrence following 
Reference ID: 5274826 
This label may not be the latest approved by FDA.  
For current labeling information, please visit https://www.fda.gov/drugsatfda  
nephrectomy, or following nephrectomy and resection of 
metastatic lesions. (1.15) 
Endometrial Carcinoma 
• in combination with lenvatinib, for the treatment of patients with 
advanced endometrial carcinoma that is mismatch repair 
proficient (pMMR) as determined by an FDA-approved test or 
not MSI-H, who have disease progression following prior 
systemic therapy in any setting and are not candidates for 
curative surgery or radiation. (1.16, 2.1) 
• as a single agent, for the treatment of patients with advanced 
endometrial carcinoma that is MSI-H or dMMR, as determined 
by an FDA-approved test, who have disease progression 
following prior systemic therapy in any setting and are not 
candidates for curative surgery or radiation. (1.16, 2.1) 
Tumor Mutational Burden-High (TMB-H) Cancer 
• for the treatment of adult and pediatric patients with 
unresectable or metastatic tumor mutational burden-high 
(TMB-H) [≥10 mutations/megabase (mut/Mb)] solid tumors, as 
determined by an FDA-approved test, that have progressed 
following prior treatment and who have no satisfactory 
alternative treatment options.1 (1.17, 2.1) 
• Limitations of Use: The safety and effectiveness of 
KEYTRUDA in pediatric patients with TMB-H central nervous 
system cancers have not been established. 
Cutaneous Squamous Cell Carcinoma (cSCC) 
• for the treatment of patients with recurrent or metastatic cSCC 
or locally advanced cSCC that is not curable by surgery or 
radiation. (1.18) 
Triple-Negative Breast Cancer (TNBC) 
• for the treatment of patients with high-risk early-stage TNBC in 
combination with chemotherapy as neoadjuvant treatment, and 
then continued as a single agent as adjuvant treatment after 
surgery. (1.19) 
• in combination with chemotherapy, for the treatment of 
patients with locally recurrent unresectable or metastatic 
TNBC whose tumors express PD-L1 (CPS ≥10) as determined 
by an FDA approved test. (1.19, 2.1) 
Adult Classical Hodgkin Lymphoma and Adult Primary Mediastinal 
Large B-Cell Lymphoma: Additional Dosing Regimen of 400 mg 
Every 6 Weeks 
• for use at an additional recommended dosage of 400 mg every 
6 weeks for Classical Hodgkin Lymphoma and Primary 
Mediastinal Large B-Cell Lymphoma in adults.2 (1.20, 2.2) 
1 This indication is approved under accelerated approval based on 
tumor response rate and durability of response. Continued 
approval for this indication may be contingent upon verification 
and description of clinical benefit in the confirmatory trials. 
2 This indication is approved under accelerated approval based on 
pharmacokinetic data, the relationship of exposure to efficacy, 
and the relationship of exposure to safety. Continued approval for 
this dosing may be contingent upon verification and description of 
clinical benefit in the confirmatory trials. 
-----------------------"
169,Intrahepatic Cholangiocarcinoma,Rearrangement,Futibatinib,"INDICATIONS AND USAGE--------------------------
LYTGOBI is a kinase inhibitor indicated for the treatment of adult patients 
with previously treated, unresectable, locally advanced or metastatic 
intrahepatic cholangiocarcinoma harboring fibroblast growth factor receptor 2 
(FGFR2) gene fusions or other rearrangements. (1, 2.1) 
This indication is approved under accelerated approval based on overall 
response rate and duration of response. Continued approval for this indication 
may be contingent upon verification and description of clinical benefit in a 
confirmatory trial(s). (1) 
------------------------"
171,Acute Myeloid Leukemia,Somatic Variant,Olutasidenib,"INDICATIONS AND USAGE---------------------------
REZLIDHIA is an isocitrate dehydrogenase-1 (IDH1) inhibitor indicated 
for the treatment of adult patients with relapsed or refractory acute 
myeloid leukemia (AML) with a susceptible IDH1 mutation as detected 
by an FDA-approved test. (1) 
------------------------"
176,Non-Small Cell Lung Cancer,Somatic Variant,Adagrasib,"INDICATIONS AND USAGE _________________  
KRAZATI is an inhibitor of the RAS GTPase family indicated for the 
treatment of adult patients with KRAS G12C-mutated locally advanced or 
metastatic non-small cell lung cancer (NSCLC), as determined by an FDA 
approved test, who have received at least one prior systemic therapy. (1) 
This indication is approved under accelerated approval based on objective 
response rate (ORR) and duration of response (DOR). Continued approval for 
this indication may be contingent upon verification and description of a 
clinical benefit in a confirmatory trial(s). (1) 
  _______________"
178,Breast cancer,Somatic Variant,Elacestrant,"INDICATIONS AND USAGE----------------------------
ORSERDU is an estrogen receptor antagonist indicated for: 
• treatment of postmenopausal women or adult men, with ER-
positive, HER2-negative, ESR1-mutated advanced or metastatic 
breast cancer with disease progression following at least one line 
of endocrine therapy (1) 
-----------------------"
199,Prostate Cancer,Germline Variant,Abiraterone acetate + Niraparib,"INDICATIONS AND USAGE---------------------------
AKEEGA is a combination of niraparib, a poly (ADP-ribose) polymerase 
(PARP) inhibitor, and abiraterone acetate, a CYP17 inhibitor indicated with 
prednisone for the treatment of adult patients with deleterious or suspected 
deleterious BRCA-mutated (BRCAm) metastatic castration-resistant prostate 
cancer (mCRPC). Select patients for therapy based on an FDA-approved test 
for AKEEGA. (1, 2.1) 
------------------------"
203,Endometrial cancer,Microsatellite Stability,Dostarlimab-gxly,"INDICATIONS AND USAGE---------------------------- Evaluate clinical chemistries, including liver enzymes, creatinine, and 
JEMPERLI is a programmed death receptor-1 (PD-1)–blocking antibody thyroid function, at baseline and periodically during treatment. Withhold 
indicated: or permanently discontinue JEMPERLI and administer corticosteroids 
Endometrial Cancer (EC) based on the severity of reaction. (2.3, 5.1) 
• in combination with carboplatin and paclitaxel, followed by JEMPERLI • Infusion-related reactions: Interrupt, slow the rate of infusion, or 
as a single agent for the treatment of adult patients with primary advanced permanently discontinue JEMPERLI based on severity of reaction. (2.3, 
or recurrent endometrial cancer that is mismatch repair deficient 5.2) 
(dMMR), as determined by an FDA-approved test, or microsatellite • Complications of allogeneic hematopoietic stem cell transplantation instability-high (MSI-H). (1.1, 2.1) (HSCT): Fatal and other serious complications can occur in patients who 
• as a single agent for the treatment of adult patients with dMMR recurrent receive allogeneic HSCT before or after being treated with a 
or advanced endometrial cancer, as determined by an FDA-approved test, PD-1/PD-L1–blocking antibody. (5.3) 
that has progressed on or following prior treatment with a platinum- • Embryo-fetal toxicity: Can cause fetal harm. Advise females of containing regimen in any setting and are not candidates for curative reproductive potential of the potential risk to a fetus and to use effective surgery or radiation. (1.1, 2.1) contraception. (5.4, 8.1, 8.3) Mismatch Repair Deficient Recurrent or Advanced Solid Tumors 
• as a single agent for the treatment of adult patients with dMMR recurrent ------------------------------- ADVERSE REACTIONS ------------------------------
or advanced solid tumors, as determined by an FDA-approved test, that • Most common adverse reactions (≥20%) with JEMPERLI in 
have progressed on or following prior treatment and who have no combination with carboplatin and paclitaxel in patients with 
satisfactory alternative treatment options.1 (1, 2.1) dMMR/MSI-H EC are rash, diarrhea, hypothyroidism, and hypertension. 
1This indication is approved under accelerated approval based on tumor Most common Grade 3 or 4 laboratory abnormalities (≥10%) are 
response rate and durability of response. Continued approval for this decreased neutrophils, decreased hemoglobin, decreased white blood 
indication may be contingent upon verification and description of clinical cell count, decreased lymphocytes, increased glucose, decreased sodium, 
benefit in a confirmatory trial(s). (1) and decreased platelets. (6.1) 
• Most common adverse reactions (≥20%) with JEMPERLI as a single ------------------------"
209,Breast cancer,Somatic Variant,Capivasertib + Fulvestrant,"INDICATIONS AND USAGE --------------------------
TRUQAP is a kinase inhibitor indicated, in combination with fulvestrant for 
the treatment of adult patients with hormone receptor (HR)-positive, human 
epidermal growth factor receptor 2 (HER2)-negative, locally advanced or 
metastatic breast cancer with one or more PIK3CA/AKT1/PTEN-alterations as 
detected by an FDA-approved test following progression on at least one 
endocrine-based regimen in the metastatic setting or recurrence on or within 
12 months of completing adjuvant therapy. (1) 
----------------------"
223,Non-Small Cell Lung Cancer,Somatic Variant,Tepotinib,"INDICATIONS AND USAGE---------------------------
TEPMETKO is a kinase inhibitor indicated for the treatment of adult patients 
with metastatic non-small cell lung cancer (NSCLC) harboring mesenchymal-
epithelial transition (MET) exon 14 skipping alterations. (1) 
-----------------------"
227,Non-Small Cell Lung Cancer,Rearrangement,Repotrectinib,"INDICATIONS AND USAGE---------------------------
AUGTYRO is a kinase inhibitor indicated for the treatment of adult patients 
with locally advanced or metastatic ROS1-positive non-small cell lung cancer 
(NSCLC). (1) 
-----------------------"
229,Acute Lymphoblastic Leukemia,Rearrangement,Ponatinib + Chemotherapy,"INDICATIONS AND USAGE--------------------------- 
ICLUSIG is a kinase inhibitor indicated for the treatment of adult 
patients with: 
Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia 
(Ph+ ALL) 
• Newly diagnosed Ph+ ALL, in combination with chemotherapy. (1) 
This indication is approved under accelerated approval based on 
minimal residual disease (MRD)-negative complete remission 
(CR) at the end of induction. Continued approval for this 
indication may be contingent upon verification of clinical benefit in 
a confirmatory trial(s). 
• As monotherapy in Ph+ ALL for whom no other kinase inhibitors 
are indicated or T315I-positive Ph+ ALL. (1) 
Chronic Myeloid Leukemia (CML) 
• Chronic phase (CP) CML with resistance or intolerance to at least 
two prior kinase inhibitors. (1) 
• Accelerated phase (AP) or blast phase (BP) CML for whom no 
other kinase inhibitors are indicated. (1) 
• T315I-positive CML (chronic phase, accelerated phase, or blast 
phase). (1) 
Limitations of Use: ICLUSIG is not indicated and is not recommended 
for the treatment of patients with newly diagnosed CP-CML. (5.7) 
------------------------"
